"tableID","variableID","stub"
"B07101","B07101_001","Total:"
"B07101","B07101_002","Same residence (non-movers) "
"B07101","B07101_003","Movers within same state "
"B07101","B07101_004","Movers to different state:"
"B07101","","Residence 1 year ago-- "
"B07101","B07101_005","Northeast "
"B07101","B07101_006","Midwest "
"B07101","B07101_007","South "
"B07101","B07101_008","West "
"B07101","B07101_009","Movers from abroad:"
"B07101","B07101_010","Puerto Rico "
"B07101","B07101_011","U.S. Island Areas "
"B07101","B07101_012","Foreign country "
"B07101","B07101_013","Current residence; Northeast:"
"B07101","B07101_014","Same residence (non-movers) "
"B07101","B07101_015","Movers within same state "
"B07101","B07101_016","Movers to different state:"
"B07101","","Residence 1 year ago-- "
"B07101","B07101_017","Northeast "
"B07101","B07101_018","Midwest "
"B07101","B07101_019","South "
"B07101","B07101_020","West "
"B07101","B07101_021","Movers from abroad:"
"B07101","B07101_022","Puerto Rico "
"B07101","B07101_023","U.S. Island Areas "
"B07101","B07101_024","Foreign country "
"B07101","B07101_025","Current residence; Midwest:"
"B07101","B07101_026","Same residence (non-movers) "
"B07101","B07101_027","Movers within same state "
"B07101","B07101_028","Movers to different state:"
"B07101","","Residence 1 year ago-- "
"B07101","B07101_029","Northeast "
"B07101","B07101_030","Midwest "
"B07101","B07101_031","South "
"B07101","B07101_032","West "
"B07101","B07101_033","Movers from abroad:"
"B07101","B07101_034","Puerto Rico "
"B07101","B07101_035","U.S. Island Areas "
"B07101","B07101_036","Foreign country "
"B07101","B07101_037","Current residence; South:"
"B07101","B07101_038","Same residence (non-movers) "
"B07101","B07101_039","Movers within same state "
"B07101","B07101_040","Movers to different state:"
"B07101","","Residence 1 year ago-- "
"B07101","B07101_041","Northeast "
"B07101","B07101_042","Midwest "
"B07101","B07101_043","South "
"B07101","B07101_044","West "
"B07101","B07101_045","Movers from abroad:"
"B07101","B07101_046","Puerto Rico "
"B07101","B07101_047","U.S. Island Areas "
"B07101","B07101_048","Foreign country "
"B07101","B07101_049","Current residence; West:"
"B07101","B07101_050","Same residence (non-movers) "
"B07101","B07101_051","Movers within same state "
"B07101","B07101_052","Movers to different state:"
"B07101","","Residence 1 year ago-- "
"B07101","B07101_053","Northeast "
"B07101","B07101_054","Midwest "
"B07101","B07101_055","South "
"B07101","B07101_056","West "
"B07101","B07101_057","Movers from abroad:"
"B07101","B07101_058","Puerto Rico "
"B07101","B07101_059","U.S. Island Areas "
"B07101","B07101_060","Foreign country "
"B07201","B07201_001","Total:"
"B07201","B07201_002","Same house 1 year ago"
"B07201","B07201_003","Different house in United States 1 year ago:"
"B07201","B07201_004","Same Metropolitan Statistical Area:"
"B07201","B07201_005","Moved from principal city"
"B07201","B07201_006","Moved from remainder of Metropolitan Statistical Area"
"B07201","B07201_007","Different Metropolitan Statistical Area:"
"B07201","B07201_008","Moved from principal city"
"B07201","B07201_009","Moved from remainder of Metropolitan Statistical Area"
"B07201","B07201_010","Micropolitan Statistical Area:"
"B07201","B07201_011","Moved from principal city"
"B07201","B07201_012","Moved from remainder of Micropolitan Statistical Area"
"B07201","B07201_013","Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"B07201","B07201_014","Abroad 1 year ago"
"C07201","C07201_001","Total:"
"C07201","C07201_002","Same house 1 year ago"
"C07201","C07201_003","Different house in United States 1 year ago:"
"C07201","C07201_004","Same Metropolitan Statistical Area:"
"C07201","C07201_005","Moved from principal city"
"C07201","C07201_006","Moved from remainder of Metropolitan Statistical Area"
"C07201","C07201_007","Different Metropolitan Statistical Area:"
"C07201","C07201_008","Moved from principal city"
"C07201","C07201_009","Moved from remainder of Metropolitan Statistical Area"
"C07201","C07201_010","Micropolitan Statistical Area"
"C07201","C07201_011","Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"C07201","C07201_012","Abroad 1 year ago"
"B07201PR","B07201PR_001","Total:"
"B07201PR","B07201PR_002","Same house 1 year ago"
"B07201PR","B07201PR_003","Different house in Puerto Rico 1 year ago:"
"B07201PR","B07201PR_004","Same Metropolitan Statistical Area:"
"B07201PR","B07201PR_005","Moved from principal city"
"B07201PR","B07201PR_006","Moved from remainder of Metropolitan Statistical Area"
"B07201PR","B07201PR_007","Different Metropolitan Statistical Area:"
"B07201PR","B07201PR_008","Moved from principal city"
"B07201PR","B07201PR_009","Moved from remainder of Metropolitan Statistical Area"
"B07201PR","B07201PR_010","Micropolitan Statistical Area:"
"B07201PR","B07201PR_011","Moved from principal city"
"B07201PR","B07201PR_012","Moved from remainder of Micropolitan Statistical Area"
"B07201PR","B07201PR_013","Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"B07201PR","B07201PR_014","United States 1 year ago:"
"B07201PR","B07201PR_015","Metropolitan Statistical Area:"
"B07201PR","B07201PR_016","Moved from principal city"
"B07201PR","B07201PR_017","Moved from remainder of Metropolitan Statistical Area"
"B07201PR","B07201PR_018","Micropolitan Statistical Area:"
"B07201PR","B07201PR_019","Moved from principal city"
"B07201PR","B07201PR_020","Moved from remainder of Micropolitan Statistical Area"
"B07201PR","B07201PR_021","Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"B07201PR","B07201PR_022","Abroad 1 year ago"
"C07201PR","C07201PR_001","Total:"
"C07201PR","C07201PR_002","Same house 1 year ago"
"C07201PR","C07201PR_003","Different house in Puerto Rico 1 year ago:"
"C07201PR","C07201PR_004","Same Metropolitan Statistical Area:"
"C07201PR","C07201PR_005","Moved from principal city"
"C07201PR","C07201PR_006","Moved from remainder of Metropolitan Statistical Area"
"C07201PR","C07201PR_007","Different Metropolitan Statistical Area:"
"C07201PR","C07201PR_008","Moved from principal city"
"C07201PR","C07201PR_009","Moved from remainder of Metropolitan Statistical Area"
"C07201PR","C07201PR_010","Micropolitan Statistical Area"
"C07201PR","C07201PR_011","Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"C07201PR","C07201PR_012","United States 1 year ago:"
"C07201PR","C07201PR_013","Metropolitan Statistical Area"
"C07201PR","C07201PR_014","Micropolitan Statistical Area"
"C07201PR","C07201PR_015","Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"C07201PR","C07201PR_016","Abroad 1 year ago"
"B07202","B07202_001","Total:"
"B07202","B07202_002","Same house 1 year ago"
"B07202","B07202_003","Different house in United States 1 year ago:"
"B07202","B07202_004","Same Micropolitan Statistical Area:"
"B07202","B07202_005","Moved from principal city"
"B07202","B07202_006","Moved from remainder of Micropolitan Statistical Area"
"B07202","B07202_007","Different Micropolitan Statistical Area:"
"B07202","B07202_008","Moved from principal city"
"B07202","B07202_009","Moved from remainder of Micropolitan Statistical Area"
"B07202","B07202_010","Metropolitan Statistical Area:"
"B07202","B07202_011","Moved from principal city"
"B07202","B07202_012","Moved from remainder of Metropolitan Statistical Area"
"B07202","B07202_013","Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"B07202","B07202_014","Abroad 1 year ago"
"B07202PR","B07202PR_001","Total:"
"B07202PR","B07202PR_002","Same house 1 year ago"
"B07202PR","B07202PR_003","Different house in Puerto Rico 1 year ago:"
"B07202PR","B07202PR_004","Same Micropolitan Statistical Area:"
"B07202PR","B07202PR_005","Moved from principal city"
"B07202PR","B07202PR_006","Moved from remainder of Micropolitan Statistical Area"
"B07202PR","B07202PR_007","Different Micropolitan Statistical Area"
"B07202PR","B07202PR_008","Metropolitan Statistical Area"
"B07202PR","B07202PR_009","Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"B07202PR","B07202PR_010","United States 1 year ago"
"B07202PR","B07202PR_011","Abroad 1 year ago"
"B07203","B07203_001","Total:"
"B07203","B07203_002","Same house 1 year ago"
"B07203","B07203_003","Different house in United States 1 year ago:"
"B07203","B07203_004","Metropolitan Statistical Area:"
"B07203","B07203_005","Moved from principal city"
"B07203","B07203_006","Moved from remainder of Metropolitan Statistical Area"
"B07203","B07203_007","Micropolitan Statistical Area:"
"B07203","B07203_008","Moved from principal city"
"B07203","B07203_009","Moved from remainder of Micropolitan Statistical Area"
"B07203","B07203_010","Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"B07203","B07203_011","Abroad 1 year ago"
"B07203PR","B07203PR_001","Total:"
"B07203PR","B07203PR_002","Same house 1 year ago"
"B07203PR","B07203PR_003","Different house in Puerto Rico 1 year ago:"
"B07203PR","B07203PR_004","Metropolitan Statistical Area"
"B07203PR","B07203PR_005","Micropolitan Statistical Area"
"B07203PR","B07203PR_006","Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
"B07203PR","B07203PR_007","United States 1 year ago"
"B07203PR","B07203PR_008","Abroad 1 year ago"
"B07204","B07204_001","Total:"
"B07204","B07204_002","Same house 1 year ago"
"B07204","B07204_003","Different house in United States 1 year ago:"
"B07204","B07204_004","Same city or town:"
"B07204","B07204_005","Same county"
"B07204","B07204_006","Different county (same state)"
"B07204","B07204_007","Elsewhere:"
"B07204","B07204_008","Same county"
"B07204","B07204_009","Different county:"
"B07204","B07204_010","Same state"
"B07204","B07204_011","Different state:"
"B07204","B07204_012","Northeast"
"B07204","B07204_013","Midwest"
"B07204","B07204_014","South"
"B07204","B07204_015","West"
"B07204","B07204_016","Abroad 1 year ago:"
"B07204","B07204_017","Puerto Rico"
"B07204","B07204_018","U.S. Island Areas"
"B07204","B07204_019","Foreign country"
"C07204","C07204_001","Total:"
"C07204","C07204_002","Same house 1 year ago"
"C07204","C07204_003","Different house in United States 1 year ago:"
"C07204","C07204_004","Same city or town"
"C07204","C07204_005","Elsewhere:"
"C07204","C07204_006","Same county"
"C07204","C07204_007","Different county:"
"C07204","C07204_008","Same state"
"C07204","C07204_009","Different state"
"C07204","C07204_010","Abroad 1 year ago:"
"C07204","C07204_011","Puerto Rico"
"C07204","C07204_012","Elsewhere"
"B07204PR","B07204PR_001","Total:"
"B07204PR","B07204PR_002","Same house 1 year ago"
"B07204PR","B07204PR_003","Different house in Puerto Rico 1 year ago:"
"B07204PR","B07204PR_004","Same city or town:"
"B07204PR","B07204PR_005","Same municipio"
"B07204PR","B07204PR_006","Different municipio"
"B07204PR","B07204PR_007","Elsewhere in Puerto Rico:"
"B07204PR","B07204PR_008","Same municipio"
"B07204PR","B07204PR_009","Different municipio"
"B07204PR","B07204PR_010","United States 1 year ago:"
"B07204PR","B07204PR_011","Northeast"
"B07204PR","B07204PR_012","Midwest"
"B07204PR","B07204PR_013","South"
"B07204PR","B07204PR_014","West"
"B07204PR","B07204PR_015","Elsewhere 1 year ago:"
"B07204PR","B07204PR_016","U.S. Island Areas"
"B07204PR","B07204PR_017","Foreign country"
"C07204PR","C07204PR_001","Total:"
"C07204PR","C07204PR_002","Same house 1 year ago"
"C07204PR","C07204PR_003","Different house in Puerto Rico 1 year ago:"
"C07204PR","C07204PR_004","Same city or town"
"C07204PR","C07204PR_005","Elsewhere in Puerto Rico:"
"C07204PR","C07204PR_006","Same municipio"
"C07204PR","C07204PR_007","Different municipio"
"C07204PR","C07204PR_008","United States 1 year ago"
"C07204PR","C07204PR_009","Elsewhere 1 year ago"
"B07401","B07401_001","Total living in area 1 year ago:"
"B07401","B07401_002","1 to 4 years"
"B07401","B07401_003","5 to 17 years"
"B07401","B07401_004","18 and 19 years"
"B07401","B07401_005","20 to 24 years"
"B07401","B07401_006","25 to 29 years"
"B07401","B07401_007","30 to 34 years"
"B07401","B07401_008","35 to 39 years"
"B07401","B07401_009","40 to 44 years"
"B07401","B07401_010","45 to 49 years"
"B07401","B07401_011","50 to 54 years"
"B07401","B07401_012","55 to 59 years"
"B07401","B07401_013","60 to 64 years"
"B07401","B07401_014","65 to 69 years"
"B07401","B07401_015","70 to 74 years"
"B07401","B07401_016","75 years and over"
"B07401","B07401_017","Same house:"
"B07401","B07401_018","1 to 4 years"
"B07401","B07401_019","5 to 17 years"
"B07401","B07401_020","18 and 19 years"
"B07401","B07401_021","20 to 24 years"
"B07401","B07401_022","25 to 29 years"
"B07401","B07401_023","30 to 34 years"
"B07401","B07401_024","35 to 39 years"
"B07401","B07401_025","40 to 44 years"
"B07401","B07401_026","45 to 49 years"
"B07401","B07401_027","50 to 54 years"
"B07401","B07401_028","55 to 59 years"
"B07401","B07401_029","60 to 64 years"
"B07401","B07401_030","65 to 69 years"
"B07401","B07401_031","70 to 74 years"
"B07401","B07401_032","75 years and over"
"B07401","B07401_033","Moved within same county:"
"B07401","B07401_034","1 to 4 years"
"B07401","B07401_035","5 to 17 years"
"B07401","B07401_036","18 and 19 years"
"B07401","B07401_037","20 to 24 years"
"B07401","B07401_038","25 to 29 years"
"B07401","B07401_039","30 to 34 years"
"B07401","B07401_040","35 to 39 years"
"B07401","B07401_041","40 to 44 years"
"B07401","B07401_042","45 to 49 years"
"B07401","B07401_043","50 to 54 years"
"B07401","B07401_044","55 to 59 years"
"B07401","B07401_045","60 to 64 years"
"B07401","B07401_046","65 to 69 years"
"B07401","B07401_047","70 to 74 years"
"B07401","B07401_048","75 years and over"
"B07401","B07401_049","Moved to different county within same state:"
"B07401","B07401_050","1 to 4 years"
"B07401","B07401_051","5 to 17 years"
"B07401","B07401_052","18 and 19 years"
"B07401","B07401_053","20 to 24 years"
"B07401","B07401_054","25 to 29 years"
"B07401","B07401_055","30 to 34 years"
"B07401","B07401_056","35 to 39 years"
"B07401","B07401_057","40 to 44 years"
"B07401","B07401_058","45 to 49 years"
"B07401","B07401_059","50 to 54 years"
"B07401","B07401_060","55 to 59 years"
"B07401","B07401_061","60 to 64 years"
"B07401","B07401_062","65 to 69 years"
"B07401","B07401_063","70 to 74 years"
"B07401","B07401_064","75 years and over"
"B07401","B07401_065","Moved to different state:"
"B07401","B07401_066","1 to 4 years"
"B07401","B07401_067","5 to 17 years"
"B07401","B07401_068","18 and 19 years"
"B07401","B07401_069","20 to 24 years"
"B07401","B07401_070","25 to 29 years"
"B07401","B07401_071","30 to 34 years"
"B07401","B07401_072","35 to 39 years"
"B07401","B07401_073","40 to 44 years"
"B07401","B07401_074","45 to 49 years"
"B07401","B07401_075","50 to 54 years"
"B07401","B07401_076","55 to 59 years"
"B07401","B07401_077","60 to 64 years"
"B07401","B07401_078","65 to 69 years"
"B07401","B07401_079","70 to 74 years"
"B07401","B07401_080","75 years and over"
"C07401","C07401_001","Total living in area 1 year ago:"
"C07401","C07401_002","1 to 4 years"
"C07401","C07401_003","5 to 17 years"
"C07401","C07401_004","18 to 24 years"
"C07401","C07401_005","25 to 34 years"
"C07401","C07401_006","35 to 44 years"
"C07401","C07401_007","45 to 54 years"
"C07401","C07401_008","55 to 64 years"
"C07401","C07401_009","65 to 74 years"
"C07401","C07401_010","75 years and over"
"C07401","C07401_011","Same house:"
"C07401","C07401_012","1 to 4 years"
"C07401","C07401_013","5 to 17 years"
"C07401","C07401_014","18 to 24 years"
"C07401","C07401_015","25 to 34 years"
"C07401","C07401_016","35 to 44 years"
"C07401","C07401_017","45 to 54 years"
"C07401","C07401_018","55 to 64 years"
"C07401","C07401_019","65 to 74 years"
"C07401","C07401_020","75 years and over"
"C07401","C07401_021","Moved within same county:"
"C07401","C07401_022","1 to 4 years"
"C07401","C07401_023","5 to 17 years"
"C07401","C07401_024","18 to 24 years"
"C07401","C07401_025","25 to 34 years"
"C07401","C07401_026","35 to 44 years"
"C07401","C07401_027","45 to 54 years"
"C07401","C07401_028","55 to 64 years"
"C07401","C07401_029","65 to 74 years"
"C07401","C07401_030","75 years and over"
"C07401","C07401_031","Moved to different county within same state:"
"C07401","C07401_032","1 to 4 years"
"C07401","C07401_033","5 to 17 years"
"C07401","C07401_034","18 to 24 years"
"C07401","C07401_035","25 to 34 years"
"C07401","C07401_036","35 to 44 years"
"C07401","C07401_037","45 to 54 years"
"C07401","C07401_038","55 to 64 years"
"C07401","C07401_039","65 to 74 years"
"C07401","C07401_040","75 years and over"
"C07401","C07401_041","Moved to different state:"
"C07401","C07401_042","1 to 4 years"
"C07401","C07401_043","5 to 17 years"
"C07401","C07401_044","18 to 24 years"
"C07401","C07401_045","25 to 34 years"
"C07401","C07401_046","35 to 44 years"
"C07401","C07401_047","45 to 54 years"
"C07401","C07401_048","55 to 64 years"
"C07401","C07401_049","65 to 74 years"
"C07401","C07401_050","75 years and over"
"B07401PR","B07401PR_001","Total living in area 1 year ago:"
"B07401PR","B07401PR_002","1 to 4 years"
"B07401PR","B07401PR_003","5 to 17 years"
"B07401PR","B07401PR_004","18 and 19 years"
"B07401PR","B07401PR_005","20 to 24 years"
"B07401PR","B07401PR_006","25 to 29 years"
"B07401PR","B07401PR_007","30 to 34 years"
"B07401PR","B07401PR_008","35 to 39 years"
"B07401PR","B07401PR_009","40 to 44 years"
"B07401PR","B07401PR_010","45 to 49 years"
"B07401PR","B07401PR_011","50 to 54 years"
"B07401PR","B07401PR_012","55 to 59 years"
"B07401PR","B07401PR_013","60 to 64 years"
"B07401PR","B07401PR_014","65 to 69 years"
"B07401PR","B07401PR_015","70 to 74 years"
"B07401PR","B07401PR_016","75 years and over"
"B07401PR","B07401PR_017","Same house:"
"B07401PR","B07401PR_018","1 to 4 years"
"B07401PR","B07401PR_019","5 to 17 years"
"B07401PR","B07401PR_020","18 and 19 years"
"B07401PR","B07401PR_021","20 to 24 years"
"B07401PR","B07401PR_022","25 to 29 years"
"B07401PR","B07401PR_023","30 to 34 years"
"B07401PR","B07401PR_024","35 to 39 years"
"B07401PR","B07401PR_025","40 to 44 years"
"B07401PR","B07401PR_026","45 to 49 years"
"B07401PR","B07401PR_027","50 to 54 years"
"B07401PR","B07401PR_028","55 to 59 years"
"B07401PR","B07401PR_029","60 to 64 years"
"B07401PR","B07401PR_030","65 to 69 years"
"B07401PR","B07401PR_031","70 to 74 years"
"B07401PR","B07401PR_032","75 years and over"
"B07401PR","B07401PR_033","Moved within same municipio:"
"B07401PR","B07401PR_034","1 to 4 years"
"B07401PR","B07401PR_035","5 to 17 years"
"B07401PR","B07401PR_036","18 and 19 years"
"B07401PR","B07401PR_037","20 to 24 years"
"B07401PR","B07401PR_038","25 to 29 years"
"B07401PR","B07401PR_039","30 to 34 years"
"B07401PR","B07401PR_040","35 to 39 years"
"B07401PR","B07401PR_041","40 to 44 years"
"B07401PR","B07401PR_042","45 to 49 years"
"B07401PR","B07401PR_043","50 to 54 years"
"B07401PR","B07401PR_044","55 to 59 years"
"B07401PR","B07401PR_045","60 to 64 years"
"B07401PR","B07401PR_046","65 to 69 years"
"B07401PR","B07401PR_047","70 to 74 years"
"B07401PR","B07401PR_048","75 years and over"
"B07401PR","B07401PR_049","Moved to different municipio:"
"B07401PR","B07401PR_050","1 to 4 years"
"B07401PR","B07401PR_051","5 to 17 years"
"B07401PR","B07401PR_052","18 and 19 years"
"B07401PR","B07401PR_053","20 to 24 years"
"B07401PR","B07401PR_054","25 to 29 years"
"B07401PR","B07401PR_055","30 to 34 years"
"B07401PR","B07401PR_056","35 to 39 years"
"B07401PR","B07401PR_057","40 to 44 years"
"B07401PR","B07401PR_058","45 to 49 years"
"B07401PR","B07401PR_059","50 to 54 years"
"B07401PR","B07401PR_060","55 to 59 years"
"B07401PR","B07401PR_061","60 to 64 years"
"B07401PR","B07401PR_062","65 to 69 years"
"B07401PR","B07401PR_063","70 to 74 years"
"B07401PR","B07401PR_064","75 years and over"
"B07401PR","B07401PR_065","Moved to the United States:"
"B07401PR","B07401PR_066","1 to 4 years"
"B07401PR","B07401PR_067","5 to 17 years"
"B07401PR","B07401PR_068","18 and 19 years"
"B07401PR","B07401PR_069","20 to 24 years"
"B07401PR","B07401PR_070","25 to 29 years"
"B07401PR","B07401PR_071","30 to 34 years"
"B07401PR","B07401PR_072","35 to 39 years"
"B07401PR","B07401PR_073","40 to 44 years"
"B07401PR","B07401PR_074","45 to 49 years"
"B07401PR","B07401PR_075","50 to 54 years"
"B07401PR","B07401PR_076","55 to 59 years"
"B07401PR","B07401PR_077","60 to 64 years"
"B07401PR","B07401PR_078","65 to 69 years"
"B07401PR","B07401PR_079","70 to 74 years"
"B07401PR","B07401PR_080","75 years and over"
"C07401PR","C07401PR_001","Total living in area 1 year ago:"
"C07401PR","C07401PR_002","1 to 4 years"
"C07401PR","C07401PR_003","5 to 17 years"
"C07401PR","C07401PR_004","18 to 24 years"
"C07401PR","C07401PR_005","25 to 34 years"
"C07401PR","C07401PR_006","35 to 44 years"
"C07401PR","C07401PR_007","45 to 54 years"
"C07401PR","C07401PR_008","55 to 64 years"
"C07401PR","C07401PR_009","65 to 74 years"
"C07401PR","C07401PR_010","75 years and over"
"C07401PR","C07401PR_011","Same house:"
"C07401PR","C07401PR_012","1 to 4 years"
"C07401PR","C07401PR_013","5 to 17 years"
"C07401PR","C07401PR_014","18 to 24 years"
"C07401PR","C07401PR_015","25 to 34 years"
"C07401PR","C07401PR_016","35 to 44 years"
"C07401PR","C07401PR_017","45 to 54 years"
"C07401PR","C07401PR_018","55 to 64 years"
"C07401PR","C07401PR_019","65 to 74 years"
"C07401PR","C07401PR_020","75 years and over"
"C07401PR","C07401PR_021","Moved within same municipio:"
"C07401PR","C07401PR_022","1 to 4 years"
"C07401PR","C07401PR_023","5 to 17 years"
"C07401PR","C07401PR_024","18 to 24 years"
"C07401PR","C07401PR_025","25 to 34 years"
"C07401PR","C07401PR_026","35 to 44 years"
"C07401PR","C07401PR_027","45 to 54 years"
"C07401PR","C07401PR_028","55 to 64 years"
"C07401PR","C07401PR_029","65 to 74 years"
"C07401PR","C07401PR_030","75 years and over"
"C07401PR","C07401PR_031","Moved to different municipio:"
"C07401PR","C07401PR_032","1 to 4 years"
"C07401PR","C07401PR_033","5 to 17 years"
"C07401PR","C07401PR_034","18 to 24 years"
"C07401PR","C07401PR_035","25 to 34 years"
"C07401PR","C07401PR_036","35 to 44 years"
"C07401PR","C07401PR_037","45 to 54 years"
"C07401PR","C07401PR_038","55 to 64 years"
"C07401PR","C07401PR_039","65 to 74 years"
"C07401PR","C07401PR_040","75 years and over"
"C07401PR","C07401PR_041","Moved to the United States:"
"C07401PR","C07401PR_042","1 to 4 years"
"C07401PR","C07401PR_043","5 to 17 years"
"C07401PR","C07401PR_044","18 to 24 years"
"C07401PR","C07401PR_045","25 to 34 years"
"C07401PR","C07401PR_046","35 to 44 years"
"C07401PR","C07401PR_047","45 to 54 years"
"C07401PR","C07401PR_048","55 to 64 years"
"C07401PR","C07401PR_049","65 to 74 years"
"C07401PR","C07401PR_050","75 years and over"
"B07402","","Median age --"
"B07402","B07402_001","Total living in area 1 year ago:"
"B07402","B07402_002","Same house"
"B07402","B07402_003","Moved within same county"
"B07402","B07402_004","Moved to different county within same state"
"B07402","B07402_005","Moved to different state"
"B07402PR","","Median age --"
"B07402PR","B07402PR_001","Total living in area 1 year ago:"
"B07402PR","B07402PR_002","Same house"
"B07402PR","B07402PR_003","Moved within same municipio"
"B07402PR","B07402PR_004","Moved to different municipio"
"B07402PR","B07402PR_005","Moved to the United States"
"B07403","B07403_001","Total living in area 1 year ago:"
"B07403","B07403_002","Male"
"B07403","B07403_003","Female"
"B07403","B07403_004","Same house:"
"B07403","B07403_005","Male"
"B07403","B07403_006","Female"
"B07403","B07403_007","Moved within same county:"
"B07403","B07403_008","Male"
"B07403","B07403_009","Female"
"B07403","B07403_010","Moved to different county within same state:"
"B07403","B07403_011","Male"
"B07403","B07403_012","Female"
"B07403","B07403_013","Moved to different state:"
"B07403","B07403_014","Male"
"B07403","B07403_015","Female"
"B07403PR","B07403PR_001","Total living in area 1 year ago:"
"B07403PR","B07403PR_002","Male"
"B07403PR","B07403PR_003","Female"
"B07403PR","B07403PR_004","Same house:"
"B07403PR","B07403PR_005","Male"
"B07403PR","B07403PR_006","Female"
"B07403PR","B07403PR_007","Moved within same municipio:"
"B07403PR","B07403PR_008","Male"
"B07403PR","B07403PR_009","Female"
"B07403PR","B07403PR_010","Moved to different municipio:"
"B07403PR","B07403PR_011","Male"
"B07403PR","B07403PR_012","Female"
"B07403PR","B07403PR_013","Moved to the United States:"
"B07403PR","B07403PR_014","Male"
"B07403PR","B07403PR_015","Female"
"B07404A","B07404A_001","Total living in area 1 year ago:"
"B07404A","B07404A_002","Same house"
"B07404A","B07404A_003","Moved within same county"
"B07404A","B07404A_004","Moved to different county within same state"
"B07404A","B07404A_005","Moved to different state"
"B07404APR","B07404APR_001","Total living in area 1 year ago:"
"B07404APR","B07404APR_002","Same house"
"B07404APR","B07404APR_003","Moved within same municipio"
"B07404APR","B07404APR_004","Moved to different municipio"
"B07404APR","B07404APR_005","Moved to the United States"
"B07404B","B07404B_001","Total living in area 1 year ago:"
"B07404B","B07404B_002","Same house"
"B07404B","B07404B_003","Moved within same county"
"B07404B","B07404B_004","Moved to different county within same state"
"B07404B","B07404B_005","Moved to different state"
"B07404BPR","B07404BPR_001","Total living in area 1 year ago:"
"B07404BPR","B07404BPR_002","Same house"
"B07404BPR","B07404BPR_003","Moved within same municipio"
"B07404BPR","B07404BPR_004","Moved to different municipio"
"B07404BPR","B07404BPR_005","Moved to the United States"
"B07404C","B07404C_001","Total living in area 1 year ago:"
"B07404C","B07404C_002","Same house"
"B07404C","B07404C_003","Moved within same county"
"B07404C","B07404C_004","Moved to different county within same state"
"B07404C","B07404C_005","Moved to different state"
"B07404CPR","B07404CPR_001","Total living in area 1 year ago:"
"B07404CPR","B07404CPR_002","Same house"
"B07404CPR","B07404CPR_003","Moved within same municipio"
"B07404CPR","B07404CPR_004","Moved to different municipio"
"B07404CPR","B07404CPR_005","Moved to the United States"
"B07404D","B07404D_001","Total living in area 1 year ago:"
"B07404D","B07404D_002","Same house"
"B07404D","B07404D_003","Moved within same county"
"B07404D","B07404D_004","Moved to different county within same state"
"B07404D","B07404D_005","Moved to different state"
"B07404DPR","B07404DPR_001","Total living in area 1 year ago:"
"B07404DPR","B07404DPR_002","Same house"
"B07404DPR","B07404DPR_003","Moved within same municipio"
"B07404DPR","B07404DPR_004","Moved to different municipio"
"B07404DPR","B07404DPR_005","Moved to the United States"
"B07404E","B07404E_001","Total living in area 1 year ago:"
"B07404E","B07404E_002","Same house"
"B07404E","B07404E_003","Moved within same county"
"B07404E","B07404E_004","Moved to different county within same state"
"B07404E","B07404E_005","Moved to different state"
"B07404EPR","B07404EPR_001","Total living in area 1 year ago:"
"B07404EPR","B07404EPR_002","Same house"
"B07404EPR","B07404EPR_003","Moved within same municipio"
"B07404EPR","B07404EPR_004","Moved to different municipio"
"B07404EPR","B07404EPR_005","Moved to the United States"
"B07404F","B07404F_001","Total living in area 1 year ago:"
"B07404F","B07404F_002","Same house"
"B07404F","B07404F_003","Moved within same county"
"B07404F","B07404F_004","Moved to different county within same state"
"B07404F","B07404F_005","Moved to different state"
"B07404FPR","B07404FPR_001","Total living in area 1 year ago:"
"B07404FPR","B07404FPR_002","Same house"
"B07404FPR","B07404FPR_003","Moved within same municipio"
"B07404FPR","B07404FPR_004","Moved to different municipio"
"B07404FPR","B07404FPR_005","Moved to the United States"
"B07404G","B07404G_001","Total living in area 1 year ago:"
"B07404G","B07404G_002","Same house"
"B07404G","B07404G_003","Moved within same county"
"B07404G","B07404G_004","Moved to different county within same state"
"B07404G","B07404G_005","Moved to different state"
"B07404GPR","B07404GPR_001","Total living in area 1 year ago:"
"B07404GPR","B07404GPR_002","Same house"
"B07404GPR","B07404GPR_003","Moved within same municipio"
"B07404GPR","B07404GPR_004","Moved to different municipio"
"B07404GPR","B07404GPR_005","Moved to the United States"
"B07404H","B07404H_001","Total living in area 1 year ago:"
"B07404H","B07404H_002","Same house"
"B07404H","B07404H_003","Moved within same county"
"B07404H","B07404H_004","Moved to different county within same state"
"B07404H","B07404H_005","Moved to different state"
"B07404HPR","B07404HPR_001","Total living in area 1 year ago:"
"B07404HPR","B07404HPR_002","Same house"
"B07404HPR","B07404HPR_003","Moved within same municipio"
"B07404HPR","B07404HPR_004","Moved to different municipio"
